ID,"Source (Author, Title, & Details)",Melville Reference Codes
55,"Beechey, Captain Frederick W., Narrative of a Voyage to the Pacific and Bering Straits (Philadelphia, 1832). [*133]","O: 16, 17, 133, 480!"
56,"Belcher, Sir Edward, Narrative of a Voyage round the World 1836-1842 (London, 1843). [*133] O:133? 57. “Belisarius,—Was He Blind?,"" Blackwood’s Edinburgh Magazine, 61 (May 1847), 606-21. [*226]",M: 226
58,"Bell, John and Charles, The Anatomy and Physiology of the Human Body, by John D. Godman, M.D., 5th American ed. (New York: Collins & Co., 1827). [*491]",WJ: 491?; Unspec: 571?
59,"Belzoni, Giovanni, Narrative of the Operations and Recent Discoveries within the pyramids, temples, tombs, and excavations, in Egypt and Nubia (1820).",M: 488; P: 333; IMC: 333
60,"Bennett, Frederick Debell, Narrative of a Whaling Voyage round the Globe, from the Year 1833 to 1836 (London, 1840). [*201]","O: 133, 480; M: 127!, 133, 182, 213, 218, 226!, 228, 345a, 488; MD: 84, 147!, 148, 165, 182!, 199, 201, 213, 228, 229, 239, 487; Unspec: 176a"
60a.,"Bentham, Jeremy, Deontology, or the Science of Morality (1834). B: 619a?",
*61.,"Beranger, Pierre-Jean de, The Songs of Beranger, in English. With a Sketch of the Author’s Life (Philadelphia: Carey & Hart, 1844). [*Sealts #58]","C: 319; MP: 295, 377b; Unspec: 213"
62,"Berkshire County Eagle (1855, 1856). [*254]",CM: 254
<*63.,"Bible, The Holy Bible ... Together with the Apocrypha (Philadelphia: Butler, 1846). [*Sealts #62; see also Sealts #60-61, 6365]","All Works: 136a, 183!; O: 480!; R: 136a, 212, 504c; WJ: 662a; MD: 92b, 128a, 146, 148a, 165, 182, 229, 229a, 256, 280, 311, 318, 334, 339, 347a, 360, 371, 377c, 386, 440e, 552, 595, 601, 623, 651a, 695; P: 181!, 229a, 318, 439a, 651a; B: 651a; CDD: 350; E: 654?; IP: 440d; BT: 594; BC: 271?, 342, 365a; PT: 173; TP: 331; CM: 213, 254!, 334, 375a, 434, 440c, 440d, 487a, 503a, 504b, 641, 651a, 705; BP: 508a; C: 146, 315!, 441b, 461b, 512b; TIM: 512b; BB: 217, 345, 440d, 637c; WW: 440f; UP: 305; Unspec: 139!, 146, 178, 194, 297, 318, 440e, 686b"
-,King James Bible:,"Unspec: 178, 297, 440a"
-,Old Testament:,MD: 182; Unspec: 400
